AssetClass,AssetId,ShortId,Category,Status,SystemName,AssetGroup,AssetType,AssetSubType,Material,Make,Model,QuantityLength,Unit,Size,Description,Location,SerialNumber,InstallDate,Notes,FoundDate,DisposalDate,ReasonForDisposal,Community,AssetOwner,Address,Method,Insurer,Source,Interpolation,PrimaryGLCode,ContractNumber,ProjectId,PurchaseCost,ResidualValue,BaseLife,BaseLifeOptional,UnitCost,UnitRateFactor,UnitRateOptional,AssetRetirementObligation,DepAsset,RenewalDateCalculated,OptionalRenewalDate,FairValue,FairValueDate,ConditionIndex,Condition,Performance,Criticality,Accuracy,Risk,EditedBy,EditedDate,NumOfMediaRecords,HasGeometry,AcquisitionType,ConditionIndexDummy,MaterialClass,Sub_Status
sw_plant,SW10004,4,Reticulation,Reticulation,Opotiki - SWPS06 - Bridge Street Flood Pump,Pump Station,Mechanical,Pump,N/A,Grundfos,AP100-150-130,1,N/A,0,,,96003740,36531,,,,,Opotiki,Local Authority,Pump Ex Sewerage - added 50% life based on less duty and to cover costs of bearings and rekit,Imported,None,Steve Carter 28 Amps,,,,,0,0,15,20,0,1,21067.2,,Y,43836,,0,,90,Very Poor,Excellent,Low,Excellent,Very High,NathanH@odc.govt.nz,29/06/2022,0,Yes,,15,,
sw_plant,SW10005,5,Reticulation,Reticulation,Opotiki - SWPS06 - Bridge Street Flood Pump,Pump Station,Electrical,Switchboard & Wiring,N/A,N/A,N/A,1,N/A,0,,,,36531,,,,,Opotiki,Local Authority,Power Supply / Switchboard,Imported,None,Compiled using control tech figures 2011,,,,,0,0,35,30,0,1,17304,,Y,47489,,0,,50,Average,Excellent,Low,Excellent,Very High,NathanH@odc.govt.nz,29/06/2022,0,Yes,,43.3333333333333,,
sw_plant,SW10008,8,Reticulation,Reticulation,Opotiki - SWPS07 - Wellington Street East Flood Pump,Pump Station,Mechanical,Pump,N/A,Flygt,3102,1,Each,0,,,9680011,34340,,,,,Opotiki,Local Authority,Pump Ex Sewerage - added 50% life based on less duty and to cover costs of bearings and rekit,Imported,None,Steve Carter 7.1 Amps,,,,,0,0,15,20,0,1,11491.2,,Y,41645,,0,,90,Very Poor,Excellent,Low,Excellent,Very High,NathanH@odc.govt.nz,29/06/2022,0,Yes,,-15,,
sw_plant,20140710151250,142,Reticulation,Reticulation,Opotiki - SWPS01 - Forsyth Street Flood Pump,Pump Station,Electrical,Mains Cable,N/A,N/A,N/A,1,Each,0,,,,40914,,,,,Opotiki,Local Authority,,Digitized,MD,,,,,Forsyth St FP 2011/12,4330,0,30,50,0,1,5107.2,,Y,59177,,0,,30,Good,Excellent,High,Excellent,Very High,NathanH@odc.govt.nz,29/06/2022,0,No,,90,,
sw_plant,20140710151459,143,Reticulation,Reticulation,Opotiki - SWPS01 - Forsyth Street Flood Pump,Pump Station,Electrical,VSD/Softstart,N/A,N/A,N/A,1,Each,0,,,,40914,,,,,Opotiki,Local Authority,,Digitized,MD,,,,,Forsyth St FP 2011/12,6375,0,15,15,0,1,7515.2,,Y,46393,,0,,30,Good,Excellent,High,Excellent,Very High,NathanH@odc.govt.nz,29/06/2022,0,No,,66.6666666666667,,
sw_plant,20140710151636,144,Reticulation,Reticulation,Opotiki - SWPS01 - Forsyth Street Flood Pump,Pump Station,Electrical,VSD/Softstart,N/A,N/A,N/A,1,Each,0,,,,40914,,,,,Opotiki,Local Authority,,Digitized,MD,,,,,Forsyth St FP 2011/12,6375,0,15,15,0,1,7515.2,,Y,46393,,0,,30,Good,Excellent,High,Excellent,Very High,NathanH@odc.govt.nz,29/06/2022,0,No,,66.6666666666667,,
sw_plant,20140710151738,145,Reticulation,Reticulation,Opotiki - SWPS01 - Forsyth Street Flood Pump,Pump Station,Telemetry,Modem,N/A,N/A,N/A,1,Each,,,,,40914,,,,,Opotiki,Local Authority,,Digitized,MD,,,,,Forsyth St FP 2011/12,2750,0,15,15,2678.93,1,3248,,Y,46393,,0,,30,Good,Excellent,High,Excellent,Very High,NathanH@odc.govt.nz,29/06/2022,0,No,,66.6666666666667,,
sw_plant,20140710151852,146,Reticulation,Reticulation,Opotiki - SWPS01 - Forsyth Street Flood Pump,Pump Station,Electrical,Pressure Transducer,N/A,N/A,N/A,1,Each,0,,,,40914,,,,,Opotiki,Local Authority,,Digitized,MD,,,,,Forsyth St FP 2011/12,1575,0,15,15,0,1,1859.2,,Y,46393,,0,,30,Good,Excellent,High,Excellent,Very High,NathanH@odc.govt.nz,29/06/2022,0,No,,66.6666666666667,,
sw_plant,20140710140936,135,Reticulation,Reticulation,Opotiki - SWPS02 - Tarawa Creek Flood Pump,Pump Station,Electrical,Pump Controller,N/A,Multi Smart,MSM3 Pump Controller,1,Each,0,,,,28/02/2014,Ian - Purchase cost indicative of installation only. Replacement cost as per Control Tech itemisation.,,,,Opotiki,Local Authority,,Digitized,MD,,,,,Tarawa Crk FP Upgrade 2013/14,2566.5,0,35,15,6341.62,1,7851.2,,Y,28/02/2029,,0,,30,Good,Excellent,Very High,Excellent,Very High,NathanH@odc.govt.nz,29/06/2022,0,No,,80,,
sw_plant,20140710141147,136,Reticulation,Reticulation,Opotiki - SWPS02 - Tarawa Creek Flood Pump,Pump Station,Electrical,VSD/Softstart,N/A,Altivar,ATV61HD22N4S337 VSD,1,Each,0,,,,28/02/2014,Ian - Purchase cost indicative of installation only. Replacement cost as per Control Tech itemisation.,,,,Opotiki,Local Authority,,Digitized,MD,,,,,Tarawa Crk FP Upgrade 2013/14,4391.67,0,15,15,0,1,13440,,Y,28/02/2029,,0,,30,Good,Excellent,Very High,Excellent,Very High,NathanH@odc.govt.nz,29/06/2022,0,No,,80,,
